door_id,location_name,zone_a,zone_b,default_light_code,access_mode,default_door_state,eligible_agents,authorization_source,existing_indicator_light,light_render_action,light_anchor_rule,door_open_rule,door_close_rule,denied_access_behavior,collision_and_pathfinding_rule,dynamic_state_rule,reservation_or_group_rule,blue_restricted_rule,red_blocked_rule,elevator_rule,source_confidence,manual_review_required,implementation_notes
D34,Reliability main walkway entrance,Reliability & Operations,Main Connecting Walkway - East,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary lower entrance for Reliability & Operations.
D35,Reliability executive-corridor entrance,Reliability & Operations,East Executive Corridor,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General connection between Reliability & Operations and the east executive circulation corridor.
D36,Executive upper-right restricted door,Executive Command,Upper-right restricted/service boundary,RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,high,no,No agent has access while red. This is not overridden by agent rank.
D37,Executive Command east secure entrance,Executive Command,East Executive Corridor,BLUE,restricted,closed_when_idle_locked,agents explicitly listed by ID or included in an authorized access group,agent roster plus explicit door/group access policy,yes,overlay blue light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open only after authorization succeeds for the approaching agent,close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute unauthorized agents and show restricted-access feedback without changing the blue light,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,blue remains blue while restricted; membership changes should be read from structured access data,a meeting reservation does not grant entry unless the reservation also grants an authorized access group,rank alone is insufficient; use explicit member or group authorization,not applicable,not applicable,high,no,"Only specifically authorized members may enter. Authorization must be based on explicit agent IDs or access groups, not rank alone."
D38,Executive Boardroom secure entrance,Executive Boardroom,Central Executive Corridor / Central Nexus approach,BLUE,restricted,closed_when_idle_locked,agents explicitly listed by ID or included in an authorized access group,agent roster plus explicit door/group access policy,yes,overlay blue light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open only after authorization succeeds for the approaching agent,close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute unauthorized agents and show restricted-access feedback without changing the blue light,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,blue remains blue while restricted; membership changes should be read from structured access data,a meeting reservation does not grant entry unless the reservation also grants an authorized access group,rank alone is insufficient; use explicit member or group authorization,not applicable,not applicable,high,no,Only specifically authorized members may enter. Meeting reservation alone does not automatically override blue access unless policy explicitly grants it.
D39,Executive Command west secure entrance,Executive Command,West Executive Corridor,BLUE,restricted,closed_when_idle_locked,agents explicitly listed by ID or included in an authorized access group,agent roster plus explicit door/group access policy,yes,overlay blue light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open only after authorization succeeds for the approaching agent,close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute unauthorized agents and show restricted-access feedback without changing the blue light,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,blue remains blue while restricted; membership changes should be read from structured access data,a meeting reservation does not grant entry unless the reservation also grants an authorized access group,rank alone is insufficient; use explicit member or group authorization,not applicable,not applicable,high,no,"Only specifically authorized members may enter. Authorization must be based on explicit agent IDs or access groups, not rank alone."
D40,Executive upper-left restricted door,Executive Command,Upper-left restricted/service boundary,RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,high,no,No agent has access while red. This is not overridden by agent rank.
D41,Security executive-corridor entrance,Security & Governance,West Executive Corridor,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General connection between Security & Governance and the west executive circulation corridor.
D42,Security main walkway entrance,Security & Governance,Main Connecting Walkway - West,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary lower entrance for Security & Governance.
D43,Security stair-side entrance,Security & Governance,Stairs2 Landing,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access connection from Security & Governance to the Stairs2 landing.
D44,Stairs2 restricted upper door,Stairs2,Upper-left restricted/future floor boundary,RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,high,no,No access while red. Intended to prevent agents from leaving the active floor through the upper-left stair boundary.
D45,Focus A entrance,Focus A,RM3 circulation zone,YELLOW_MISSING_LIGHT,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",no,"add one new pixel-art yellow indicator at the marked door-light location, then render the yellow effect","Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Same access behavior as yellow. Add one new yellow indicator light because the artwork does not currently contain one.
D46,Focus D entrance,Focus D,RM10 circulation zone,YELLOW_MISSING_LIGHT,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",no,"add one new pixel-art yellow indicator at the marked door-light location, then render the yellow effect","Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Same access behavior as yellow. Add one new yellow indicator light because the artwork does not currently contain one.
D47,Central elevator entrance,Central Elevator,Central Elevator Lobby,ELEVATOR,elevator,closed_when_idle,any agent permitted to use the floor system; default to any active agent until a separate elevator policy exists,elevator/floor-selection system,not_applicable,add a pixel-art floor-number display above the elevator; do not use a normal door-status color,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open after the elevator is called, arrives at the active floor, and is ready for boarding",close after boarding completes and the doorway clearance zone is empty,"if a destination floor is unavailable, keep the door behavior safe and show unavailable-floor feedback",Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,floor-number display must update to the current/arriving floor and may animate during travel,not applicable unless a future floor or event policy adds restrictions,not applicable unless a future elevator access policy is created,an emergency lockout may override elevator operation only if explicitly implemented,show current floor number above the entrance; clicking or interacting opens the floor selector,high,no,Do not place a normal red/green/blue/yellow access light. Add a visible floor-number sign above the elevator entrance.
